Java,4431580
Go,56255,Shell,11676,Dockerfile,526,Ruby,24
JavaScript,6324490,HTML,835333,PHP,771733,CSS,446155,Less,245868,Smarty,18743,SCSS,15798,Ruby,1944,PowerShell,1649,Shell,1271
C#,34755
JavaScript,431430,Python,244500,CSS,159682,Rust,62715,HTML,60266,Swift,16736,Batchfile,1614,Shell,802
C#,126334,C,105166,Python,21297,C++,19189,Batchfile,1461
Python,79281,Makefile,713
C,1326814,C++,372473,CMake,981
C#,304067,PowerShell,9792
Python,27378,Shell,6515
JavaScript,438593,CSS,7199
Java,782715
JavaScript,58063
Python,126519
JavaScript,12140204
C#,156425,Batchfile,1362
C#,333139,C++,14472,C,3042
Objective-C,21258,Shell,2165,Ruby,909
Objective-C,365438,Swift,12330,Makefile,2859,Shell,2701,Ruby,2520,Python,1136
TypeScript,959089,Solidity,212613,JavaScript,175198,Vue,4404,Shell,1779,HTML,850
Python,59748,TeX,10631
Go,690193,Vue,207377,CSS,65894,Shell,11198,HTML,4860,Makefile,1708,Dockerfile,891
Go,98746,Makefile,1092,Shell,627
Python,1362191,Roff,4073,Dockerfile,1474,HTML,251,Hack,2
Python,146103,HTML,2714
JavaScript,81956,Solidity,31844,Shell,2494
Swift,188783
Swift,188783
TypeScript,761224,Dockerfile,685
Go,1467020,TypeScript,238299,JavaScript,28185,Makefile,4132,Dockerfile,2183,HTML,334
TypeScript,6329150,Solidity,1807794,Python,498292,JavaScript,152323,Handlebars,30783,HTML,13091,Shell,3019,Dockerfile,1459,CSS,444
Go,452609,Python,8570,Makefile,1661,Shell,322
Go,116234,Makefile,3489,Dockerfile,708
Go,246410,Makefile,4674,Batchfile,4311,Shell,719
TypeScript,129623,Less,16976
JavaScript,93869
JavaScript,6216
TypeScript,8251,CSS,248,JavaScript,67
TypeScript,8313,CSS,73,JavaScript,67
JavaScript,46454,HTML,1501
TypeScript,115602,Rust,18619
JavaScript,172134,Python,20344,CSS,5250,HTML,923
Kotlin,11795,Shell,11695
PHP,28113
Python,46822
PHP,80273,JavaScript,9062,CSS,2420,Shell,168
PHP,253285,JavaScript,14716,Shell,6887,CSS,1474,Dockerfile,701
PHP,450432,JavaScript,45765,CSS,23175,Shell,249
JavaScript,112977,PHP,8678,CSS,161
PHP,149691,JavaScript,7879,Shell,189,CSS,106
PHP,90153,Gherkin,9701
JavaScript,339765,PHP,153161,Vue,13914,Shell,3712
JavaScript,130529,Shell,11986
JavaScript,342616,HTML,95112,CSS,25583,Shell,1859
TypeScript,68754,HTML,2938,JavaScript,1201
Java,980908,Groovy,7302
JavaScript,742506,Nunjucks,13155,EJS,2454,Liquid,1965,HTML,340,Pug,160,Mustache,118,Shell,115,Handlebars,106,Haml,38
JavaScript,31050
JavaScript,24860,Vue,5923,Nunjucks,311
JavaScript,160162
Python,971429,TeX,7994
C#,148667,Batchfile,500,Shell,370
JavaScript,33990,Vue,17506,HTML,563
JavaScript,192524,CoffeeScript,5875,HTML,4165,Makefile,2285,Shell,559,CSS,231
JavaScript,260424,Roff,29425,Makefile,2858,CoffeeScript,2411,Shell,557
C++,26883,HTML,4147,C,1336
Python,216505
JavaScript,7289
JavaScript,32080,CSS,10536,HTML,6997
C++,2031321,C,751920,Shell,354496,QML,347505,QMake,41306,POV-Ray SDL,3977,M4,3954,Roff,3534
Ruby,813228,HTML,235452,CSS,165804,JavaScript,66693,CoffeeScript,36166,Shell,1524
Python,454576,HTML,46369,JavaScript,24284,SCSS,15308,Shell,1209,Dockerfile,189
JavaScript,667467,SCSS,651898,HTML,37444,Ruby,1490
JavaScript,584565,CSS,14288,SCSS,13251,Perl,1754,Harbour,1478,Dockerfile,1080,HTML,683
JavaScript,85713,CSS,5469,HTML,2737
Java,257165
JavaScript,705624,HTML,79615,CSS,23472,Python,1730,Vim script,1599,Shell,623,Makefile,326
JavaScript,44929
Python,30061
Swift,152390,Ruby,1174
Java,1974436,1C Enterprise,421791,Kotlin,9181,Python,1543,Shell,320
Java,134203,Kotlin,5130,1C Enterprise,474
TypeScript,352004,JavaScript,268206,CSS,4242,Shell,1335
Go,130624,Makefile,2859,Batchfile,502
PHP,6618
Java,2194884,HTML,67701,CSS,2286,Shell,1247
C,305773,JavaScript,116744,C++,38692,CSS,6339,Python,905,HTML,125
PHP,24415
Go,90483
Go,441219,TypeScript,12008
Python,7107
C++,347867,C,91927,Shell,691
Java,4420761,Shell,480,Batchfile,94
Java,4419660,Shell,480,Batchfile,94
Java,15340296,Kotlin,2227646,HTML,21058,AGS Script,15723,Python,4164,Shell,2664,Batchfile,1330,CSS,186
Java,11898227,Less,105997,SCSS,79489,PHP,50716,Vue,7515,Dockerfile,799
Python,81155,Dockerfile,1441
TypeScript,22496,HTML,1721,JavaScript,1218,CSS,930
JavaScript,3477023,CSS,569640,ActionScript,78208,HTML,70153,Batchfile,453,Shell,313
C,68265,C++,18326,CMake,1687,Makefile,413
Go,885688,Makefile,79
Go,431425,Makefile,197
Go,502313,Makefile,79
C,75299,C++,35525,CMake,1097,Makefile,521
JavaScript,55730,HTML,5145
JavaScript,198012,HTML,24723
JavaScript,1489368,HTML,362812,SCSS,259676,CSS,28705,Shell,3227,Python,1392
C#,1599229
JavaScript,9661750,PHP,303484,CSS,148992,HTML,14453,Hack,3409,Makefile,868
Kotlin,32163,Shell,185
JavaScript,49161,CSS,3842
C++,42398
Python,422562,JavaScript,77310,CSS,13917,HTML,12600,Dockerfile,351
C#,426105
Kotlin,249025,Java,120383,Go,19005,Shell,6622,Makefile,4997
